project_id,skill_id,relation_type,proficiency_level
1,2,requires,2
1,5,requires,2
1,26,teaches,3
1,1,teaches,2
1,30,teaches,2
2,3,requires,2
2,7,requires,2
2,24,teaches,3
2,25,teaches,3
2,26,teaches,2
3,1,requires,3
3,9,requires,2
3,11,teaches,3
3,15,teaches,3
3,46,teaches,2
4,4,requires,2
4,49,requires,2
4,34,teaches,3
4,50,teaches,3
4,1,teaches,2
5,1,requires,3
5,5,requires,3
5,19,teaches,3
5,21,teaches,3
5,23,teaches,3
6,3,requires,2
6,7,requires,2
6,29,teaches,3
6,28,teaches,2
6,24,teaches,2
7,1,requires,3
7,32,requires,3
7,35,teaches,3
7,9,teaches,2
7,16,teaches,2
8,3,requires,3
8,4,requires,2
8,36,teaches,3
8,35,teaches,2
9,1,requires,2
9,5,requires,1
9,11,teaches,2
9,26,teaches,2
9,9,teaches,2
10,1,requires,3
10,9,requires,2
10,12,teaches,3
10,10,teaches,2
10,14,teaches,2
11,1,requires,3
11,32,requires,3
11,30,requires,2
11,20,teaches,3
11,33,teaches,3
12,1,requires,2
12,5,requires,1
12,18,teaches,3
12,16,teaches,2
12,27,teaches,2
13,1,requires,2
13,9,requires,1
13,9,teaches,3
13,15,teaches,3
13,16,teaches,2
14,32,requires,2
14,31,requires,2
14,30,teaches,3
14,33,teaches,3
14,20,teaches,2
15,2,requires,3
15,5,requires,2
15,26,requires,2
15,30,teaches,3
15,20,teaches,2
15,43,teaches,2
16,1,requires,3
16,11,requires,2
16,10,teaches,3
16,13,teaches,3
16,46,teaches,3
17,3,requires,1
17,7,requires,2
17,37,teaches,2
17,28,teaches,2
17,43,teaches,2
18,3,requires,2
18,25,requires,2
18,8,teaches,3
18,26,teaches,3
18,30,teaches,2
19,1,requires,2
19,5,requires,2
19,17,requires,2
19,9,teaches,3
19,16,teaches,3
19,18,teaches,2
20,3,requires,3
20,29,requires,2
20,12,teaches,2
20,28,teaches,3
20,29,teaches,3
21,49,requires,2
21,1,requires,2
21,34,teaches,3
21,18,teaches,2
21,50,teaches,2
22,2,requires,3
22,26,requires,2
22,32,requires,2
22,20,teaches,2
22,35,teaches,2
22,30,teaches,2
23,1,requires,3
23,9,requires,2
23,11,teaches,3
23,13,teaches,3
23,44,teaches,3
24,3,requires,1
24,31,requires,1
24,31,teaches,3
24,7,teaches,2
24,40,teaches,2
25,5,requires,3
25,1,requires,3
25,22,teaches,3
25,23,teaches,3
25,19,teaches,2
26,3,requires,2
26,7,requires,2
26,25,teaches,2
26,39,teaches,3
26,24,teaches,2
27,1,requires,2
27,31,requires,2
27,33,teaches,3
27,43,teaches,2
27,42,teaches,3
28,1,requires,2
28,16,requires,1
28,16,teaches,3
28,18,teaches,3
28,29,teaches,2
29,1,requires,3
29,9,requires,2
29,17,requires,2
29,46,teaches,3
29,44,teaches,2
29,16,teaches,3
30,1,requires,1
30,5,requires,1
30,1,teaches,2
30,5,teaches,2
30,42,teaches,2
