student_id,skill_id,proficiency_level
1,2,3
1,5,3
1,31,2
1,32,2
1,42,2
2,7,3
2,3,3
2,28,2
2,38,2
2,40,2
3,6,3
3,17,4
3,16,3
3,5,2
3,42,3
4,49,3
4,48,3
4,4,2
4,32,2
4,31,2
5,1,3
5,9,2
5,17,3
5,5,2
5,31,3
5,42,3
6,3,3
6,7,4
6,5,2
6,31,2
6,40,2
7,1,3
7,32,3
7,5,3
7,31,3
7,30,2
8,1,2
8,5,3
8,32,2
8,31,2
8,16,2
9,2,4
9,1,3
9,5,3
9,31,3
9,26,3
9,30,2
10,5,2
10,16,2
10,18,2
10,38,3
10,40,3
11,32,1
11,34,1
11,4,2
11,38,1
11,47,2
11,50,2
11,31,1
12,32,3
12,4,3
12,41,1
12,42,4
12,48,1
12,49,4
13,32,3
13,1,4
13,34,3
13,4,2
13,38,3
13,39,3
13,50,2
14,37,2
14,40,3
14,41,1
14,16,2
14,18,1
15,7,2
15,41,2
15,42,3
15,43,4
15,25,4
16,1,2
16,3,3
16,38,2
16,42,3
16,25,1
16,26,3
16,27,3
17,32,2
17,1,1
17,34,3
17,4,2
17,38,2
17,43,3
17,49,2
18,1,4
18,2,1
18,4,2
18,5,2
18,7,4
18,42,2
19,37,1
19,39,3
19,40,1
19,41,2
19,42,2
19,43,1
19,18,1
20,40,3
20,2,1
20,30,3
20,7,3
21,32,3
21,4,3
21,5,3
21,41,1
21,42,1
21,47,2
21,48,3
21,31,2
22,32,2
22,34,3
22,39,1
22,41,1
22,42,3
22,50,3
23,3,1
23,47,2
23,24,1
23,26,2
23,31,2
24,32,3
24,4,1
24,5,1
24,38,3
24,42,1
24,47,1
24,48,1
24,31,3
25,34,3
25,4,3
25,42,2
25,50,3
25,31,2
26,5,2
26,39,3
26,40,2
26,41,3
26,42,1
26,43,2
26,47,3
27,5,1
27,38,3
27,39,3
27,43,1
27,18,2
28,37,3
28,38,1
28,41,1
28,43,3
28,18,2
29,5,3
29,38,3
29,39,1
29,40,2
29,41,1
29,42,1
29,43,2
30,3,1
30,5,1
30,7,1
30,42,2
30,43,1
30,24,1
31,3,4
31,5,3
31,7,3
31,47,2
31,24,2
32,32,1
32,2,3
32,5,2
32,7,3
32,42,1
32,43,1
32,26,4
33,3,1
33,7,2
33,40,3
33,24,4
33,26,1
33,31,3
34,40,2
34,41,2
34,42,4
34,24,4
34,31,2
35,38,4
35,42,4
35,43,4
35,47,2
35,16,4
36,32,2
36,4,4
36,39,1
36,42,4
36,47,4
36,49,2
36,31,4
37,4,4
37,5,1
37,39,2
37,48,1
37,31,4
38,32,3
38,42,2
38,43,3
38,48,4
38,49,2
38,31,3
39,32,1
39,4,1
39,5,1
39,39,2
39,48,2
39,31,2
40,32,4
40,4,4
40,5,2
40,38,4
40,41,2
40,42,3
41,32,4
41,34,2
41,4,4
41,42,2
41,47,1
41,49,3
41,31,4
42,38,3
42,7,1
42,47,2
42,24,1
42,25,3
42,26,1
42,31,3
43,1,1
43,3,2
43,4,2
43,41,2
43,31,1
44,4,3
44,41,3
44,43,1
44,49,1
44,31,3
45,5,3
45,38,1
45,39,4
45,40,4
45,43,1
46,32,1
46,34,1
46,4,2
46,41,2
46,42,1
46,43,2
46,49,3
46,31,3
47,32,3
47,34,1
47,4,3
47,40,1
47,42,1
47,49,1
47,31,3
48,32,2
48,38,3
48,42,3
48,49,4
48,31,3
49,32,1
49,34,2
49,38,2
49,42,2
49,49,4
49,31,3
50,37,1
50,38,1
50,43,2
50,16,1
50,18,2
51,32,1
51,34,2
51,40,2
51,42,1
51,49,1
51,50,1
52,48,4
52,32,3
52,4,4
52,47,3
53,32,1
53,4,2
53,38,1
53,42,4
53,43,4
54,32,3
54,4,3
54,5,1
54,40,2
54,42,1
55,1,3
55,5,4
55,42,1
55,43,4
55,16,3
55,17,4
56,37,1
56,5,3
56,38,1
56,41,2
56,47,4
56,16,4
56,18,3
57,32,4
57,4,3
57,42,4
57,47,1
57,48,4
57,49,1
57,31,3
58,37,2
58,5,3
58,38,2
58,39,1
58,40,1
58,43,2
59,32,1
59,4,2
59,42,1
59,48,3
59,49,1
59,31,2
60,37,2
60,40,1
60,41,3
60,43,4
60,16,3
61,37,2
61,38,2
61,40,1
61,41,1
61,42,2
61,18,1
62,32,2
62,34,1
62,4,2
62,39,1
62,42,2
62,49,1
62,31,1
63,34,4
63,38,3
63,43,4
63,49,1
63,31,1
64,1,1
64,5,1
64,41,3
64,16,1
64,17,3
64,18,3
65,3,2
65,5,4
65,38,2
65,26,2
65,31,4
66,41,3
66,38,4
66,39,3
67,32,3
67,4,3
67,5,3
67,38,1
67,42,3
67,43,3
67,48,2
67,31,2
68,5,1
68,6,3
68,42,4
68,43,1
68,16,3
68,18,2
69,32,2
69,34,2
69,39,3
69,42,2
69,47,1
69,49,2
69,50,1
69,31,1
70,1,3
70,5,4
70,6,3
70,38,1
70,42,2
70,16,4
70,17,1
71,24,3
71,26,4
71,27,1
71,39,1
72,1,4
72,6,3
72,38,1
72,42,3
72,43,2
72,16,4
72,17,4
72,18,2
73,1,1
73,5,1
73,38,1
73,7,1
73,25,2
73,31,1
74,48,1
74,42,3
74,40,2
74,31,2
75,18,2
75,43,1
75,42,1
75,5,3
76,49,1
76,42,3
76,34,4
76,41,1
77,32,2
77,1,3
77,2,3
77,40,4
77,24,3
77,26,4
77,30,4
78,32,1
78,34,3
78,41,4
78,42,3
78,47,3
78,50,3
79,32,3
79,4,1
79,39,4
79,42,3
79,47,4
79,48,1
79,49,3
79,31,3
80,5,1
80,7,2
80,40,1
80,26,2
80,27,1
81,5,1
81,38,1
81,39,1
81,42,1
81,16,2
81,18,2
82,32,1
82,4,2
82,5,2
82,42,3
82,47,2
82,31,2
83,32,4
83,4,3
83,40,1
83,48,2
83,31,4
84,3,1
84,4,1
84,5,2
84,38,1
84,7,2
84,31,1
85,32,3
85,34,2
85,4,4
85,38,3
85,40,1
85,42,4
85,49,1
85,31,2
86,40,1
86,49,2
86,34,3
86,31,3
87,42,1
87,47,3
87,48,2
87,49,2
87,31,3
88,32,1
88,4,3
88,5,1
88,41,3
88,42,4
88,43,4
88,48,1
89,32,1
89,2,2
89,42,3
89,47,3
89,24,1
89,30,2
90,32,2
90,42,4
90,4,4
91,32,2
91,4,2
91,38,2
91,40,3
91,42,3
91,49,3
91,31,1
92,3,2
92,40,1
92,24,1
92,25,2
92,26,2
93,4,1
93,39,3
93,7,3
93,42,3
93,26,3
94,3,2
94,42,4
94,47,1
94,24,4
94,31,3
95,5,2
95,6,3
95,40,4
95,42,4
95,16,3
95,18,4
96,32,3
96,34,3
96,4,1
96,40,2
96,47,1
96,31,1
97,37,3
97,38,2
97,40,4
97,41,1
97,16,3
98,42,2
98,18,1
98,6,2
98,39,2
99,3,1
99,4,1
99,47,1
99,24,2
99,30,2
99,31,1
100,32,4
100,1,2
100,34,1
100,38,3
100,41,1
