placement_id,skill_id,relation_type,min_proficiency
1,1,requires,3
1,9,requires,3
1,13,requires,2
1,11,requires,2
1,44,requires,2
2,1,requires,3
2,9,requires,2
2,17,requires,3
2,16,requires,3
2,18,requires,2
3,3,requires,3
3,24,requires,3
3,25,requires,2
3,26,requires,3
3,5,requires,2
4,1,requires,3
4,20,requires,3
4,30,requires,2
4,32,requires,3
4,33,requires,2
5,1,requires,2
5,35,requires,3
5,32,requires,3
5,42,requires,3
6,4,requires,2
6,34,requires,3
6,50,requires,2
6,1,requires,2
7,2,requires,3
7,5,requires,3
7,26,requires,3
7,30,requires,2
7,32,requires,2
8,3,requires,3
8,29,requires,3
8,24,requires,2
8,28,requires,2
9,1,requires,3
9,5,requires,3
9,22,requires,3
9,19,requires,2
9,23,requires,2
10,1,requires,4
10,9,requires,3
10,10,requires,3
10,14,requires,2
10,45,requires,2
11,37,requires,3
11,16,requires,2
11,28,requires,2
11,38,requires,2
11,43,requires,2
12,3,requires,3
12,36,requires,3
12,35,requires,2
12,30,requires,2
13,32,requires,3
13,30,requires,3
13,33,requires,3
13,1,requires,2
13,20,requires,2
14,28,requires,3
14,47,requires,3
14,37,requires,2
14,40,requires,2
15,1,requires,2
15,5,requires,2
15,31,requires,3
15,42,requires,3
15,40,requires,2
16,1,requires,3
16,12,requires,3
16,10,requires,3
16,14,requires,2
17,5,requires,2
17,16,requires,3
17,18,requires,2
17,38,requires,2
17,43,requires,2
18,1,requires,3
18,5,requires,3
18,21,requires,3
18,22,requires,3
18,19,requires,2
