club_id,skill_id,relation_type,proficiency_level
1,1,requires,1
1,9,teaches,2
1,17,teaches,2
1,15,teaches,2
1,42,teaches,2
2,7,requires,1
2,3,teaches,2
2,24,teaches,2
2,25,teaches,2
2,26,teaches,2
3,5,requires,1
3,16,teaches,3
3,18,teaches,3
3,1,teaches,2
3,17,teaches,2
4,4,requires,1
4,49,requires,1
4,34,teaches,3
4,50,teaches,2
4,1,teaches,2
4,42,teaches,2
5,37,teaches,3
5,38,teaches,3
5,41,teaches,2
5,43,teaches,2
6,32,requires,2
6,1,requires,1
6,35,teaches,3
6,32,teaches,3
6,42,teaches,3
7,31,requires,1
7,31,teaches,3
7,40,teaches,3
7,39,teaches,2
7,1,teaches,2
8,1,requires,2
8,32,requires,1
8,20,teaches,3
8,30,teaches,2
8,33,teaches,2
9,28,teaches,3
9,37,teaches,2
9,47,teaches,2
9,40,teaches,2
10,4,requires,1
10,4,teaches,3
10,42,teaches,3
10,2,teaches,2
11,3,requires,2
11,36,teaches,3
11,35,teaches,2
11,8,teaches,2
12,45,teaches,3
12,39,teaches,3
12,47,teaches,2
