event_id,skill_id,relation_type,proficiency_level
1,1,requires,2
1,9,requires,1
1,13,teaches,3
1,44,teaches,2
1,46,teaches,2
2,1,teaches,3
2,16,teaches,2
2,15,teaches,2
2,18,teaches,2
3,3,requires,2
3,7,requires,2
3,24,teaches,3
3,8,teaches,2
3,28,teaches,2
4,1,requires,1
4,20,teaches,2
4,30,teaches,2
4,44,teaches,2
5,1,requires,1
5,9,teaches,2
5,15,teaches,2
5,17,teaches,2
6,32,requires,1
6,35,teaches,2
6,42,teaches,3
6,40,teaches,2
7,28,teaches,3
7,37,teaches,2
7,47,teaches,2
8,32,requires,2
8,31,requires,2
8,30,teaches,3
8,33,teaches,3
8,20,teaches,2
9,1,requires,2
9,5,requires,2
9,19,teaches,3
9,21,teaches,3
9,22,teaches,2
10,38,teaches,3
10,47,teaches,3
10,41,teaches,2
11,1,requires,3
11,9,requires,2
11,10,teaches,3
11,14,teaches,3
11,12,teaches,2
12,31,requires,1
12,26,teaches,3
12,43,teaches,2
13,49,requires,1
13,34,teaches,3
13,1,teaches,2
13,50,teaches,2
14,39,teaches,3
14,47,teaches,2
14,45,teaches,2
15,1,requires,2
15,9,requires,2
15,11,teaches,3
15,10,teaches,2
15,13,teaches,2
16,3,requires,2
16,29,teaches,3
16,24,teaches,2
16,28,teaches,2
17,1,requires,2
17,5,requires,3
17,22,teaches,3
17,23,teaches,3
17,21,teaches,3
18,43,teaches,3
18,40,teaches,2
18,41,teaches,2
19,3,requires,2
19,36,teaches,3
19,35,teaches,2
19,30,teaches,2
20,45,teaches,3
20,39,teaches,2
20,17,teaches,2
