hackathon_id,skill_id,relation_type,proficiency_level
1,1,requires,2
1,9,requires,2
1,46,teaches,3
1,40,teaches,3
1,47,teaches,3
2,3,requires,2
2,7,requires,2
2,24,teaches,3
2,26,teaches,3
2,40,teaches,3
3,34,requires,2
3,1,requires,1
3,34,teaches,3
3,50,teaches,3
3,40,teaches,3
3,42,teaches,3
4,32,requires,2
4,35,requires,1
4,35,teaches,3
4,42,teaches,3
4,40,teaches,2
5,1,requires,2
5,30,requires,1
5,20,teaches,3
5,33,teaches,2
5,40,teaches,3
6,37,teaches,3
6,38,teaches,3
6,47,teaches,3
6,40,teaches,3
7,3,requires,2
7,36,requires,1
7,36,teaches,3
7,30,teaches,2
7,40,teaches,3
8,1,requires,2
8,9,requires,1
8,9,teaches,3
8,46,teaches,2
8,40,teaches,3
8,47,teaches,2
9,1,requires,2
9,5,requires,2
9,22,teaches,3
9,23,teaches,2
9,21,teaches,2
9,40,teaches,3
10,3,requires,2
10,29,teaches,3
10,28,teaches,2
10,40,teaches,3
