research_id,skill_id,relation_type,proficiency_level
1,1,requires,3
1,9,requires,2
1,11,requires,1
1,11,teaches,4
1,10,teaches,3
1,45,teaches,3
1,13,teaches,3
2,1,requires,3
2,12,requires,2
2,10,requires,2
2,12,teaches,4
2,14,teaches,3
2,45,teaches,3
3,2,requires,3
3,5,requires,3
3,32,requires,2
3,19,teaches,3
3,22,teaches,3
3,45,teaches,3
4,1,requires,2
4,17,requires,3
4,16,requires,2
4,9,teaches,3
4,15,teaches,3
4,45,teaches,3
4,18,teaches,2
5,4,requires,2
5,34,requires,2
5,49,requires,2
5,50,teaches,4
5,34,teaches,4
5,1,teaches,3
5,45,teaches,3
6,1,requires,3
6,9,requires,2
6,35,requires,2
6,10,teaches,3
6,35,teaches,4
6,45,teaches,3
7,1,requires,3
7,9,requires,3
7,10,requires,2
7,9,teaches,4
7,14,teaches,3
7,45,teaches,3
8,1,requires,2
8,20,requires,2
8,30,requires,2
8,20,teaches,4
8,33,teaches,3
8,45,teaches,3
9,1,requires,3
9,5,requires,3
9,19,requires,2
9,22,teaches,4
9,23,teaches,3
9,21,teaches,3
9,45,teaches,3
10,1,requires,2
10,16,requires,2
10,37,requires,1
10,37,teaches,3
10,9,teaches,2
10,18,teaches,3
10,45,teaches,2
11,4,requires,3
11,49,requires,2
11,34,requires,2
11,34,teaches,4
11,42,teaches,3
11,45,teaches,3
11,40,teaches,3
12,1,requires,3
12,10,requires,2
12,11,requires,2
12,10,teaches,4
12,11,teaches,4
12,13,teaches,3
12,45,teaches,3
13,1,requires,3
13,9,requires,3
13,10,requires,2
13,10,teaches,4
13,44,teaches,3
13,35,teaches,2
13,45,teaches,3
14,3,requires,3
14,36,requires,2
14,36,teaches,4
14,35,teaches,3
14,45,teaches,3
15,1,requires,3
15,9,requires,2
15,17,requires,2
15,9,teaches,4
15,46,teaches,3
15,45,teaches,3
15,18,teaches,3
